Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2012,NEWELL WASHBURN,CMY,9734,CHM APP ENG CONS STR,A,Lect,6,7,86%,6.5,4.83,4.5,4.67,4.17,4.67,4.5,4.83,4.67,4.67
Fall,2016,KEVIN NOONAN,CMY,9736,TRANS MET CAT ORG,A,Lect,3,6,50%,8,5,5,5,5,5,5,5,5,5
Spring,2015,KEVIN NOONAN,CMY,9736,TRANS MET CAT ORG,A,Lect,1,4,25%,11,5,5,5,5,5,5,5,5,5
Spring,2016,DANITH LY,CMY,9737,MEDCNL CMY DRG DEVLP,A3,Lect,10,17,59%,8.1,4.9,4.7,4.8,4.5,4.8,4.7,4.9,4.8,4.8
Fall,2014,BRUCE ARMITAGE,CMY,9737,MEDCNL CMY DRG DEVLP,A2,Lect,7,11,64%,8,4.57,4.43,4.43,4.57,4.83,4.43,4.71,4.71,4.43
Fall,2013,BRUCE ARMITAGE,CMY,9737,MEDCNL CMY DRG DEVLP,A2,Lect,20,25,80%,7.7,4.75,4.45,4.6,4.5,5,4.9,5,4.8,4.8
Spring,2016,KEVIN NOONAN,CMY,9741,ORGNC CHEM POLYMERS,A,Lect,2,3,67%,8,5,5,5,5,5,5,5,5,5
Spring,2015,KRZYSZTOF MATYJASZEWSKI,CMY,9741,ORGNC CHEM POLYMERS,A,Lect,10,12,83%,12.9,4.8,4.8,4.9,4.6,4.9,4.9,5,4.8,4.8
Spring,2013,KRZYSZTOF MATYJASZEWSKI,CMY,9741,ORGNC CHEM POLYMERS,A,Lect,8,12,67%,15.75,4.63,4.88,4.75,4.75,5,4.88,5,4.88,4.88
Spring,2012,KRZYSZTOF MATYJASZEWSKI,CMY,9741,ORGNC CHEM POLYMERS,A,Lect,5,5,100%,9.2,4.2,4.8,4.6,3.4,4.8,4.4,5,4.2,4.2
Spring,2011,KRZYSZTOF MATYJASZEWSKI,CMY,9741,ORGNC CHEM POLYMERS,A,Lect,8,13,62%,11.38,4.63,4.38,4.5,4.13,4.63,4.5,4.75,4.75,4.75
Spring,2010,KRZYSZTOF MATYJASZEWSKI,CMY,9741,ORGNC CHEM POLYMERS,A,Lect,5,11,45%,9.8,3.8,4.8,4.8,3.4,5,4.4,4.2,4.2,4.4
Spring,2016,GARY PATTERSON,CMY,9742,PHYSL CHEMTRY POLYMR,A,Lect,4,6,67%,11,5,5,5,5,5,5,5,5,5
Spring,2015,GARY PATTERSON,CMY,9742,PHYSL CHEMTRY POLYMR,A,Lect,2,3,67%,5,5,5,5,5,5,5,5,5,5
Fall,2010,RICHARD MCCULLOUGH,CMY,9747,SOLID STAT MATL CHMY,A,Lect,4,6,67%,4.25,4.5,4.5,5,4.5,5,5,5,4.5,4.75
Fall,2010,MIGUEL LLINAS,CMY,9752,ADV MGNTC RESONANCE,A,Lect,1,3,33%,11,5,5,5,5,5,5,5,5,5
Spring,2016,NEWELL WASHBURN,CMY,9759,MOLEC ENG,1,Lect,2,3,67%,9.5,4,2.5,3.5,3,4,4,5,4,3.5
Fall,2015,TOMASZ KOWALEWSKI,CMY,9801,SP TPC PHYS CHMSTRY,A,Lect,5,9,56%,10.4,4.8,4,4.2,4.8,4.6,4.8,5,4.8,4.6
Spring,2013,EMILE BOMINAAR,CMY,9801,SP TPC STRUC CHMSTRY,A,Lect,3,4,75%,10,5,5,5,5,5,5,5,5,5
Spring,2015,SUBHA DAS,CMY,9803,CHEM OF GENE EXPRSSN,A,Lect,4,8,50%,10.25,4,3,3.5,4,4,3.75,4.5,3.75,3.75
Spring,2014,SUBHA DAS,CMY,9803,CHEM OF GENE EXPRSSN,A,Lect,4,4,100%,11.25,4.5,4.25,4.75,4.25,4.75,4.75,5,4.75,4.75
Fall,2016,CATALINA ACHIM,CMY,9811,SP TPC IN ORGANC CMY,A2,Lect,3,4,75%,6,4.67,4,4,4.33,4.33,4,4.67,4,4.33
Fall,2012,CATALINA ACHIM,CMY,9811,SP TPC IN ORGANC CMY,A2,Lect,6,10,60%,7.5,4.83,4.67,4.67,4.67,4.67,4.83,5,4.83,4.5
Fall,2011,BRUCE ARMITAGE,CMY,9811,SP TPC IN ORGANC CMY,A2,Lect,12,22,55%,7.25,4.75,4.75,4.92,4.83,4.92,4.75,5,4.92,4.83
Spring,2014,KEVIN NOONAN,CMY,9812,SP TPC ORGANIC CHMTY,A,Lect,7,10,70%,9.71,4.57,4.57,4.43,4.57,4.86,4.71,4.71,4.57,4.43
Spring,2013,KEVIN NOONAN,CMY,9812,SP TPC ORGANIC CHMTY,A,Lect,6,6,100%,11,5,5,5,5,5,5,5,5,4.83
Fall,2011,KEVIN NOONAN,CMY,9812,SP TPC ADV ORGNC CMY,A,Lect,5,5,100%,11.6,5,4,4.6,4.4,4.6,4.8,4.6,4.4,4.8
Spring,2012,STEFAN BERNHARD,CMY,9821,SPC TPC: INORGNC CHM,A,Lect,5,7,71%,8,5,5,5,5,5,5,5,5,4.8
Fall,2011,STEFAN BERNHARD,CMY,9821,SPC TPC: INORGNC CHM,A,Lect,7,10,70%,6.29,4.86,4.71,4.86,4.43,5,4.86,5,4.86,4.71
Fall,2010,STEFAN BERNHARD,CMY,9821,SPC TPC: INORGNC CHM,A,Lect,4,9,44%,7.25,4.25,3.75,4.75,4.5,5,4.5,5,4.25,4.25
Spring,2014,KRZYSZTOF MATYJASZEWSKI,CMY,9835,SPC TPC POLYMER SYN,A,Lect,8,11,73%,9.13,4.88,4.88,4.75,4.88,4.88,4.88,4.88,4.88,4.88
